"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CRME","Cardiome Pharma Corporation","10.15","$199.81M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"CSII","Cardiovascular Systems, Inc.","23.54","$764.59M","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CATM","Cardtronics, Inc.","33.82","$1.52B","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CDNA","CareDx, Inc.","7.085","$84.22M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cdna",
"CECO","Career Education Corporation","3.89","$264.32M","1998","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceco",
"CTRE","CareTrust REIT, Inc.","11.44","$363.92M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctre",
"CKEC","Carmike Cinemas, Inc.","22.33","$548.79M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/ckec",
"CLBH","Carolina Bank Holdings Inc.","13.8","$68.89M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CARO","Carolina Financial Corporation","15.18","$148.22M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust Bank","5.8","$26.95M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cart",
"CRZO","Carrizo Oil & Gas, Inc.","32.11","$1.67B","1997","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crzo",
"TAST","Carrols Restaurant Group, Inc.","12.95","$459.84M","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"CRTN","Cartesian, Inc.","2.19","$20.02M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"CARV","Carver Bancorp, Inc.","6.2","$22.92M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","1.11","$29.7M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CACB","Cascade Bancorp","5.34","$388.71M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cacb",
"CSCD","Cascade Microtech, Inc.","15.3","$254.49M","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CWST","Casella Waste Systems, Inc.","6.63","$271.28M","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","109.09","$4.25B","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CASI","CASI Pharmaceuticals, Inc.","1.06","$34.39M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/casi",
"CASS","Cass Information Systems, Inc","48.02","$548.42M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CATB","Catabasis Pharmaceuticals, Inc.","10.85","$165.98M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/catb",
"CBIO","Catalyst Inc. ","9.5","$108.46M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
"CPRX","Catalyst Pharmaceuticals, Inc.","4.11","$338.98M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CATY","Cathay General Bancorp","30.38","$2.51B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"CATYW","Cathay General Bancorp","7.88","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/catyw",
"CVCO","Cavco Industries, Inc.","72.31","$641.65M","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/cvco",
"CAVM","Cavium, Inc.","72.04","$4.01B","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"CBFV","CB Financial Services, Inc.","21.36","$86.97M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbfv",
"CNLM","CB Pharma Acquisition Corp.","9.9","$54.81M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/cnlm",
"CNLMR","CB Pharma Acquisition Corp.","0.3","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/cnlmr",
"CNLMU","CB Pharma Acquisition Corp.","10.41","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/cnlmu",
"CNLMW","CB Pharma Acquisition Corp.","0.3","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/cnlmw",
"CBOE","CBOE Holdings, Inc.","65.93","$5.46B","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cboe",
"CDK","CDK Global, Inc.","51.48","$8.24B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cdk",
"CDW","CDW Corporation","41.06","$7.06B","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cdw",
"CECE","CECO Environmental Corp.","8.31","$219.73M","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"CPXX","Celator Pharmaceuticals Inc.","2.36","$79.77M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cpxx",
"CELG","Celgene Corporation","122.21","$96.61B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"CELGZ","Celgene Corporation","1.934","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"CLDN","Celladon Corporation","1.21","$28.94M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cldn",
"CLDX","Celldex Therapeutics, Inc.","15.47","$1.53B","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/cldx",
"CLRB","Cellectar Biosciences, Inc.","3.05","$23.07M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrb",
"CLRBW","Cellectar Biosciences, Inc.","0.9175","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbw",
